Group,Sample_ID,Sample_Key,Photocurrent,Onset_P,OCP_Dark_Avg,OCP_Light_Avg,Photovoltage,PK_F110_POS,PK_F110_INT,PK_F110_FWHM,PK_F200_POS,PK_F200_INT,PK_F200_FWHM,PK_F211_POS,PK_F211_INT,PK_F211_FWHM,PK_F220_POS,PK_F220_INT,PK_F220_FWHM,PK_F310_POS,PK_F310_INT,PK_F310_FWHM,PK_H110_POS,PK_H110_INT,PK_H110_FWHM,PK_H104_POS,PK_H104_INT,PK_H104_FWHM,PK_F101_POS,PK_F101_INT,PK_F101_FWHM,PK_H300_POS,PK_H300_INT,PK_H300_FWHM,PK_F301_POS,PK_F301_INT,PK_F301_FWHM,Rs,R1,C1,R2,C2
Bare,029,Bare_029,0.411,0.6083,0.6799,0.5219,0.158,26.93593235847938,2107.3224212585355,0.3237877446212099,38.17990579208866,6088.22410845671,0.33625049446393357,51.93448718580476,1624.7896520167537,0.3623258923331589,54.959347184461784,173.76774924947327,0.36598150809656077,61.9952085711704,715.307032511282,0.49999999999999994,36.04005205052648,932.1473143804861,0.27302599883539685,32.9,37.8508,0.03,34.0879,85.8386,0.05,63.74,17.7879,0.0493,65.9351,838.5595,0.3272,55.6052,531.4318,7.0892e-06,870.6916,7.21992e-05
Bare,030,Bare_030,0.1462,0.6223,0.6793,0.545,0.1343,26.736680457158467,2105.7696872035785,0.2807032344459242,37.99986089208225,6651.469792671371,0.2977903733797195,51.761537277594854,1601.7201921466415,0.3213116742161146,54.79735222605762,179.6713350921027,0.3945062810244321,61.832306871152134,704.5269827369066,0.4764648085018764,35.85102629747346,1155.137079027759,0.26034397649122387,33.3816,2.8317,0.03,33.9348,407.4971,0.2556,64.1995,174.2108,0.418,65.7796,1160.2714,0.4242,60.7281,1208.8459,8.0946e-06,2221.6514,7.50184e-05
Bare,032,Bare_032,0.283,0.6303,0.7001,0.5235,0.1766,26.57994881540043,2344.9661261601477,0.24901110395866508,37.831922348153,7406.3499453532895,0.28897015303168744,51.594144890502896,1903.7296814023562,0.30456790409060996,54.638092646673684,222.2116680300168,0.36363406410087407,61.677291621155696,840.1652334976238,0.49999999999999994,35.69412495420289,1564.8242011423454,0.21184775536691952,33.297,75.9101,0.3248,33.7788,510.6406,0.311,64.0904,189.7264,0.3216,65.6335,1304.7324,0.4517,45.5079,436.503,7.203e-06,518.3378,9.5359e-05
Bare,033,Bare_033,0.1138,0.6233,0.666,0.5207,0.1453,26.612588696718753,2458.3235494120927,0.2515399241825291,37.8697565552827,7252.619571933725,0.2991292666209821,51.633538436249644,1811.4099950736238,0.31538454191802645,54.6574767581632,187.4139918489696,0.34865946646553075,61.710443529999196,777.9358632049228,0.46913199599252325,35.72981351223046,1113.5261352845964,0.2605880541264816,33.3799,64.858,0.4386,33.8145,527.6525,0.3002,64.1271,149.3706,0.4031,65.6693,1196.4734,0.4601,80.0603,2183.3873,9.1935e-06,5588.0022,5.41997e-05
Bare,034,Bare_034,0.0476,0.7153,0.6652,0.5539,0.1113,26.513486908977818,2422.47322686508,0.24893982399086373,37.76723589668014,7661.0966712255995,0.2827493779533562,51.544936773874504,1928.8876125526601,0.3107979889442845,54.585148881736295,250.64406816216723,0.36583924735812307,61.621534339048296,837.1383970885303,0.49999999999999895,35.629690899536456,1391.004724521383,0.23431002138350368,33.2627,102.3165,0.3694,33.725,560.3083,0.3082,64.0303,175.3749,0.3145,65.5754,1300.6806,0.4557,121.0364,2432.0218,1.19968e-05,10516.4485,7.59959e-05
Bare,035,Bare_035,0.0372,0.6863,0.6594,0.5313,0.1281,26.52985133904495,2532.7369904832567,0.25013165606146837,37.78130718263919,8030.571368183994,0.2900025316456733,51.55693053040421,1978.3453917484162,0.3150028566172743,54.587226003878754,275.478504181547,0.45134239861633824,61.63088926197609,797.4801498552799,0.4999999999999997,35.637116644665845,1372.676837406298,0.2526389170745343,33.1836,102.2503,0.3119,33.7297,600.4704,0.3494,64.0256,160.71,0.3114,65.5915,1320.35,0.434,137.6595,4465.2981,1.05265e-05,15413.6096,6.01244e-05
Bare,036,Bare_036,0.4087,0.6643,0.6857,0.5521,0.1336,26.57830732724429,2477.5855501841365,0.2543299415423521,37.828641675932836,7449.018916018107,0.2851608004462719,51.60281542990637,1842.5314197343257,0.3116809750026974,54.64554786582266,259.61549040390514,0.40013429615792173,61.675864190691335,875.1533568047937,0.49999999999999956,35.69372218053594,1461.4326774201372,0.20264789970536462,33.2735,67.486,0.3691,33.7839,512.41,0.3267,64.058,184.8296,0.3369,65.6284,1312.3468,0.4424,80.9434,487.4852,6.8089e-06,793.2509,7.36077e-05
Bare,040,Bare_040,0.2304,0.6553,0.6748,0.5491,0.1257,26.523076864709992,2480.672581282621,0.2464454362038132,37.78311923018444,7142.90250903069,0.3048995171486485,51.54952851295972,1887.2646696224333,0.3208645485030434,54.578407727565384,261.97968548459596,0.42330466288715735,61.619906521341875,851.7813957768777,0.49999999999999994,35.63974224183172,1168.9973619150078,0.22597535908013386,33.2736,53.8491,0.3001,33.7292,588.4989,0.3188,64.0365,135.5453,0.3091,65.5932,1238.6059,0.4829,107.5616,1143.2158,7.0092e-06,1581.8618,5.83909e-05
Bare,041,Bare_041,0.3672,0.6263,0.7836,0.5439,0.2397,26.53565705264707,2470.0981650121576,0.25604450982216775,37.79855339256241,7490.254844668685,0.2987651523377461,51.567962809259946,1897.063640898165,0.32741696703036854,54.59109526026482,260.27820848937046,0.42949606349667124,61.65305499925761,875.0516423914944,0.49999999999999994,35.63104837668583,843.276041816519,0.26568006795975846,33.2517,101.2843,0.356,33.7444,575.1017,0.3198,64.0529,67.8432,0.3541,65.6265,1307.4847,0.4637,103.0442,1196.1815,6.9513e-06,1552.2009,5.76862e-05
Bare,042,Bare_042,0.1546,0.7023,0.7676,0.5518,0.2158,26.503452404841955,2550.707251315804,0.24044035146174378,37.75811302283779,7684.521994752106,0.2804523492678098,51.53291462696653,1975.9461748914025,0.3104079458892123,54.569035680990005,220.4958395700524,0.3828724837830468,61.612207500817604,920.8651281931253,0.49999999999994627,35.61176944907347,1094.8035350235352,0.23612805673676746,33.1811,79.614,0.2863,33.7094,599.7721,0.3156,64.0028,133.498,0.2975,65.5737,1323.7984,0.4553,116.8237,968.9463,6.7523e-06,1462.729,5.63228e-05
Bare,043,Bare_043,0.2963,0.6253,0.6761,0.5224,0.1537,26.522336685706442,3064.1509652878153,0.26508335498271635,37.782360866963,8069.407661079762,0.2881055370088584,51.56315283330185,1901.0043703040803,0.31527779412081874,54.597230171778236,212.46799745688867,0.3782588288408157,61.63641992394073,859.5892544366092,0.49423487589664555,35.64147328595423,1148.6556037539794,0.22248943873649335,33.1389,93.441,0.0897,33.7264,626.4926,0.3327,64.0265,134.5933,0.3635,65.603,1296.5247,0.4545,119.1869,609.39,6.9943e-06,1058.9139,5.87933e-05
Bare,044,Bare_044,0.9681,0.5443,0.6991,0.5402,0.1589,26.509296918062955,2415.7258636927836,0.23729486045261194,37.77125350244321,6980.002276463153,0.294430178432559,51.538178720264106,1970.1490710154783,0.32061897759269603,54.57633594061819,235.60720874727582,0.4150442748893241,61.61626622145966,814.5398634240504,0.49999999999999994,35.61491632966917,1490.5844463963438,0.17805059361338602,33.1457,69.29,0.1407,33.7033,558.0293,0.3159,63.9983,171.5408,0.2564,65.59,1286.1516,0.4688,73.3498,147.7933,7.5656e-06,217.8372,0.0001124058
Bare,047,Bare_047,0.85,0.5903,0.6827,0.5331,0.1496,26.555204898244014,2814.0470088114707,0.2536615027935435,37.818422714051664,7408.644925193307,0.29866647565543103,51.59175455306753,1907.640285812966,0.31452519672240686,54.63142410624213,257.86012130057793,0.33979544706733894,61.66511413740545,842.1190012020887,0.49848865382698493,35.66867240331209,1390.0481883600266,0.19205803668881072,33.2324,89.0182,0.3365,33.7578,644.6867,0.3394,64.0565,161.5163,0.3168,65.6362,1245.6477,0.4621,77.4755,175.5569,7.7492e-06,261.5094,0.0001141646
Bare,050,Bare_050,0.0605,0.6643,0.7026,0.5425,0.1601,26.561672433809683,2499.8951374218514,0.25823904318374485,37.825110813550914,7312.523441101055,0.30167979281776375,51.59433248473038,1883.1108709583198,0.32469208305397357,54.6134870060325,240.76271240345463,0.3989982984119123,61.65841781269999,800.2599071632216,0.4999999999999999,35.67975695683299,1855.4854726474368,0.18747639135890995,33.2292,89.243,0.2744,33.7695,584.7667,0.3353,64.0665,192.7226,0.3143,65.6326,1219.7576,0.4735,80.0638,2258.1061,8.9101e-06,5105.5864,6.41785e-05
Bare,051,Bare_051,0.5073,0.6063,0.6928,0.498,0.1948,26.59095443311595,2486.492714244689,0.2589355491300773,37.85306210192625,7025.500667197199,0.2694143789289998,51.61255447341796,2181.8992211850114,0.2962301137000637,54.625736141495224,255.98387076201954,0.4373433480658581,61.70661206720102,746.760580558197,0.46041313579313203,35.718213042143816,1463.0858246398693,0.19803804918008325,33.3065,102.4592,0.323,33.7941,580.5269,0.3363,64.1076,179.5069,0.324,65.6413,1359.6798,0.431,52.8545,303.5276,8.1567e-06,529.2981,0.0001096408
Bare,052,Bare_052,0.4891,0.5923,0.6824,0.5212,0.1612,26.669006805663468,2520.722402930031,0.2598949537482654,37.92662903288305,6974.22053935533,0.2642961420018002,51.68406141912412,2232.0079324201247,0.28857927159389113,54.70110762415162,230.84075300050523,0.48490533440217737,61.77520594667531,687.9929320117061,0.4443926638031777,35.79238648124856,1424.4593586933713,0.20152032613148724,33.3363,67.7274,0.2121,33.8651,572.0598,0.3083,64.1753,176.4086,0.2994,65.7054,1311.009,0.4167,53.1862,306.0895,8.1302e-06,546.2065,0.0001194962
Bare,056,Bare_056,0.2698,0.6083,0.6825,0.5912,0.0913,26.575420179822235,2248.387083941847,0.2691241603102932,37.841160307638226,6045.006166016902,0.27321946765087646,51.607598458815154,2161.1381917048466,0.3033377535062997,54.62990431275434,291.34087465209,0.3765811220491658,61.69775414492156,753.894011790079,0.4691759416088611,35.684196466874155,1044.6186921025821,0.18950649608948492,33.2904,54.8795,0.3756,33.7857,571.6419,0.3217,64.0623,144.813,0.3625,65.6441,1351.8332,0.4267,48.4958,581.9297,7.3315e-06,948.4818,7.99851e-05
Bare,058,Bare_058,0.0676,0.7473,0.683,0.529,0.154,26.844901041708166,2279.4763123719463,0.3060530307711126,38.101279831380545,6141.015061897212,0.2784672605783854,51.85195492709169,1966.8504164354054,0.30186818841156987,54.86377660884048,170.94230395377335,0.3434796383177581,61.93035276198566,780.445086106502,0.46373994393145807,35.96035562018735,1144.63551841684,0.22690494002307435,32.9,27.503,0.03,34.036,254.2605,0.1638,64.24,125.8643,0.2836,65.8548,1115.9859,0.358,89.8753,1709.5331,8.1144e-06,5987.0003,7.91314e-05
Bare,059,Bare_059,0.054,0.7673,0.6865,0.5398,0.1467,26.48622822971822,2484.921585165445,0.24997320766575626,37.7421413825847,7234.847598283702,0.2907911442760932,51.508391586004535,2032.532799711936,0.31879828181821873,54.54308073684087,230.77967069646704,0.4156479584585397,61.58732636502893,856.4340530065515,0.4999999999999969,35.60467886401276,1288.1779243220967,0.23380965731669642,33.1831,54.7002,0.2746,33.6913,595.4284,0.3194,63.9985,144.0499,0.3243,65.5562,1316.5636,0.465,91.6166,1547.77,9.1994e-06,9494.6843,6.78152e-05
